Timestamp,aX (g),aY (g),aZ (g),Temp (C),gX (�/s),gY (�/s),gZ (�/s)
38547,0.36,-0.06,-0.90,28.11,1.28,1.40,0.83
38651,0.35,-0.06,-0.90,28.15,1.28,1.49,0.78
38756,0.36,-0.05,-0.89,28.01,1.48,1.15,0.63
38860,0.36,-0.05,-0.90,28.06,1.31,1.56,0.71
38965,0.36,-0.06,-0.89,28.11,1.40,1.34,0.73
39069,0.36,-0.05,-0.89,28.15,1.26,1.24,0.76
39175,0.36,-0.06,-0.89,28.20,1.27,1.27,0.72
39279,0.36,-0.06,-0.89,28.06,1.34,1.63,0.83
39384,0.35,-0.06,-0.90,28.01,1.41,1.33,0.76
39488,0.36,-0.05,-0.90,28.15,1.28,1.31,0.80
39592,0.35,-0.06,-0.89,28.15,1.34,1.27,0.80
39697,0.36,-0.05,-0.89,28.11,1.47,1.07,0.83
39801,0.35,-0.06,-0.88,28.06,1.40,1.46,0.77
39906,0.35,-0.05,-0.89,28.15,1.27,1.68,0.82
40011,0.36,-0.06,-0.89,28.11,1.47,1.39,0.81
40116,0.36,-0.06,-0.89,28.20,1.36,1.51,0.86
40220,0.36,-0.05,-0.89,28.25,1.49,1.51,0.76
40325,0.35,-0.05,-0.89,28.20,1.28,1.44,0.89
40429,0.36,-0.06,-0.90,28.15,1.38,1.61,0.74
40534,0.36,-0.06,-0.89,28.11,1.08,1.53,0.75
40638,0.35,-0.06,-0.90,28.25,1.41,1.36,0.87
40742,0.36,-0.06,-0.89,28.11,1.42,1.26,0.72
40848,0.35,-0.05,-0.90,28.15,1.24,1.32,0.79
40952,0.35,-0.05,-0.89,28.11,1.33,1.59,0.73
41057,0.36,-0.06,-0.90,28.15,1.37,1.56,0.76
41161,0.36,-0.06,-0.90,28.11,1.37,1.37,0.80
41266,0.35,-0.06,-0.88,28.15,1.34,1.26,0.86
41370,0.36,-0.06,-0.89,28.20,1.25,1.89,0.81
41475,0.36,-0.06,-0.90,28.06,1.20,1.50,0.82
41579,0.36,-0.06,-0.88,28.20,1.23,1.48,0.73
41684,0.36,-0.06,-0.90,28.25,1.22,1.34,0.67
41789,0.35,-0.06,-0.89,28.20,1.29,0.73,0.82
41893,0.36,-0.05,-0.89,28.25,1.21,1.70,0.87
41998,0.35,-0.05,-0.89,28.11,1.37,1.85,0.73
42102,0.35,-0.06,-0.90,28.15,1.32,1.10,0.89
42207,0.36,-0.06,-0.90,28.20,1.23,1.50,0.68
42311,0.35,-0.06,-0.89,28.20,1.41,1.71,0.82
42416,0.36,-0.05,-0.90,28.15,1.34,1.23,0.88
42521,0.36,-0.06,-0.90,28.20,1.22,1.83,0.94
42626,0.36,-0.06,-0.90,28.11,1.30,1.19,0.82
42730,0.36,-0.06,-0.90,28.25,1.27,1.40,0.81
42834,0.35,-0.06,-0.89,28.20,1.27,1.36,0.89
42939,0.36,-0.06,-0.89,28.20,1.40,1.79,0.85
43043,0.36,-0.05,-0.89,28.15,1.34,1.06,0.87
43148,0.36,-0.06,-0.88,28.20,1.33,1.43,0.84
43252,0.36,-0.06,-0.88,28.15,1.43,1.72,0.76
43358,0.35,-0.05,-0.89,28.20,1.28,1.27,0.66
